"","blue","green","red","vnir","NDAVI","ind24","NDWI","WAVI","DII_blue_green","DII_blue_red","DII_green_red","depth","TOT","TSG","TMA","class"
"1032",0.061004445,0.071482226,0.028522816,0.008986763,-0.743203104,-0.776640356,0.776640356,-0.781242549,0.448621243,0.246649742,-0.213915154,-2.151861906,97,97,0,"SG High"
"1033",0.060125049,0.068984769,0.027387049,0.007309204,-0.783219814,-0.808393657,0.808393657,-0.868012071,0.477847874,0.266896605,-0.221783146,-2.217158794,98,98,0,"SG High"
"1034",0.037028987,0.042319328,0.017227719,0.008421485,-0.629421413,-0.668058693,0.668058693,-0.515000403,0.59420979,0.178790912,-0.394481242,-2.340408564,32,2,29,"MA Low"
"1035",0.033520084,0.043065429,0.017231856,0.006650447,-0.668889284,-0.73246187,0.73246187,-0.664597273,0.473155141,0.079029217,-0.377168238,-2.402215958,0,0,0,"Bare"
"1036",0.036653198,0.042690825,0.017341007,0.008532729,-0.622328043,-0.666843534,0.666843534,-0.510649741,0.573258042,0.162982553,-0.390208423,-2.352318525,0,0,0,"Bare"
"1037",0.036402829,0.043062288,0.017341465,0.007867746,-0.644560933,-0.691037059,0.691037059,-0.563705802,0.555746555,0.156105742,-0.381562799,-2.365021467,32,1,31,"MA Low"
"1038",0.034018744,0.041702222,0.017454755,0.007091857,-0.654986501,-0.709314883,0.709314883,-0.633258343,0.527490199,0.082799472,-0.418094188,-2.377238989,0,0,0,"Bare"
"1039",0.03226129,0.042815849,0.017229557,0.006870427,-0.648856342,-0.72344768,0.72344768,-0.644759595,0.442028135,0.040866621,-0.382889509,-2.382784843,32,0,32,"MA Low"
"1040",0.035400692,0.043063633,0.017342843,0.007092577,-0.666178763,-0.71718049,0.71718049,-0.62922585,0.52779305,0.128122628,-0.381585747,-2.389092445,0,0,0,"Bare"
"1041",0.035903234,0.04318776,0.017343303,0.007203831,-0.665770292,-0.714085996,0.714085996,-0.619592011,0.538348436,0.142195925,-0.378725588,-2.393902779,51.5,37.5,14,"SG High"
"1042",0.035401851,0.042940866,0.017343761,0.006317033,-0.697161973,-0.743511915,0.743511915,-0.699050665,0.531337619,0.128110051,-0.384476721,-2.399837017,0,0,0,"Bare"
"1043",0.034398314,0.042693973,0.017344221,0.006428292,-0.685092986,-0.738273799,0.738273799,-0.688774228,0.509674191,0.09933079,-0.390261024,-2.399932623,55,3,52,"MA High"
