"","Point_code","blue","green","red","vnir","NDAVI","ind24","NDWI","WAVI","DII_blue_green","DII_blue_red","DII_green_red","Year","Accuracy.m.","UTM.Zone","UTM.Easting","UTM.Northing","TOT","T_DR","TSG","Tt","Sf","Hw","TMA"
"94","BB28_CR",0.045408178,0.070609912,0.047436651,0.013027932,-0.554113626,-0.688467979,0.688467979,-0.853608429,0.168470487,-0.483847141,-0.572903574,2023,0.501318,"17 R",569615,2808360,"50.45","50.45","40.25","40.25","0","0",10.2
"95","BB28_CS",0.047964357,0.072967038,0.047914013,0.011976953,-0.600377321,-0.718003511,0.718003511,-0.900062144,0.182842702,-0.437648326,-0.546890855,2023,0.454755,"17 R",569615,2808363,"43","43","22.5","22.5","0","0",20.5
"96","BB28_E",0.046084367,0.06930168,0.042542934,0.009291274,-0.6644274,-0.763559639,0.763559639,-0.962250471,0.206256971,-0.375905305,-0.517394364,2023,0.48896298,"17 R",569631,2808363,"29.5","29.5","24","24","0","0",5.5
"97","BB28_L",0.041503709,0.065105572,0.036926523,0.008940533,-0.645528138,-0.758514404,0.758514404,-0.915231764,0.178397968,-0.359455466,-0.483353645,2023,0.63662225,"17 R",569622,2808381,"72.7","72.7","59.5","59.5","0","0",13.2
"98","BB28_R",0.045408178,0.070609912,0.047436651,0.013027932,-0.554113626,-0.688467979,0.688467979,-0.853608429,0.168470487,-0.483847141,-0.572903574,2023,0.48282537,"17 R",569613,2808353,"71.5","71.5","62","62","0","0",9.5
"99","BB28_S",0.049038239,0.075845301,0.048510063,0.011042286,-0.632417142,-0.745825946,0.745825946,-0.94373548,0.157394141,-0.42608428,-0.516629338,2023,0.4553104,"17 R",569602,2808371,"21.25","21.25","17.75","17.75","0","0",3.5
"100","BB29_C",0.042885173,0.06068949,0.032966319,0.004330313,-0.816572309,-0.866800189,0.866800189,-1.151685953,0.29754436,-0.229648262,-0.47627309,2023,0.40175825,"17 R",571734,2809374,"94.75","94.75","80","80","0","0",14.75
"101","BB29_CE",0.044097386,0.061608434,0.033444893,0.004681068,-0.808068216,-0.85876894,0.85876894,-1.131662965,0.306932211,-0.214105561,-0.471068144,2023,0.39781392,"17 R",571733,2809366,"98.25","98.25","66.25","66.25","0","0",32
"102","BB29_CL",0.040732019,0.057539858,0.031531993,0.005265368,-0.771057963,-0.832327068,0.832327068,-1.070727229,0.311588973,-0.243099079,-0.499246806,2023,0.42620116,"17 R",571742,2809375,"76","76","68.75","68.75","0","0",7.25
"103","BB29_CR",0.042614166,0.061738193,0.031889498,0.003044615,-0.866636157,-0.906005442,0.906005442,-1.238540769,0.270130277,-0.207573056,-0.436506033,2023,0.41190088,"17 R",571727,2809373,"100","100","70","70","0","0",30
"104","BB29_CS",0.040864293,0.060689062,0.031650621,0.004680573,-0.794463158,-0.856796682,0.856796682,-1.113507867,0.249283537,-0.243069828,-0.448520601,2023,0.41866252,"17 R",571734,2809382,"98.25","98.25","48","48","0","0",50.25
"105","BB29_E",0.046654195,0.065412082,0.036433455,0.00421397,-0.834317982,-0.878954232,0.878954232,-1.188986182,0.289600343,-0.230973721,-0.469494671,2023,0.39556006,"17 R",571732,2809359,"99.7","99.7","69.25","69.25","0","0",30.45
"106","BB29_L",0.038847063,0.057015561,0.033087138,0.004564776,-0.789699018,-0.851745665,0.851745665,-1.136291385,0.275467068,-0.331671953,-0.541212738,2023,0.42733914,"17 R",571750,2809376,"66.75","66.75","61.5","61.5","0","0",5.25
"107","BB29_R",0.042614166,0.061738193,0.031889498,0.003044615,-0.866636157,-0.906005442,0.906005442,-1.238540769,0.270130277,-0.207573056,-0.436506033,2023,0.41471827,"17 R",571720,2809373,"100","100","86.31","86.31","0","0",13.69
"108","BB29_S",0.040864293,0.060689062,0.031650621,0.004680573,-0.794463158,-0.856796682,0.856796682,-1.113507867,0.249283537,-0.243069828,-0.448520601,2023,0.4175356,"17 R",571734,2809390,"93","93","80.5","80.5","0","0",12.5
"118","BB31_C",0.041400149,0.048631415,0.02334749,0.004121186,-0.818933904,-0.843754232,0.843754232,-1.049903393,0.534774959,0.030293889,-0.462633163,2023,0.38837805,"17 R",571069,2813995,"97.19","97.19","97.19","97.19","0","0",0
"119","BB31_CE",0.041128654,0.050081074,0.02334659,0.003886393,-0.827329159,-0.855972767,0.855972767,-1.07187283,0.492062718,0.023747426,-0.43323344,2023,0.3894277,"17 R",571066,2814002,"100","99.75","99.75","99.75","0","0",0
"120","BB31_CS",0.046666715,0.054697052,0.027068051,0.004824953,-0.812592864,-0.837876678,0.837876678,-1.046143174,0.509933412,0.023525711,-0.445873678,2023,0.3988751,"17 R",571073,2813988,"100.75","99.75","99.65","99.65","0","0",0.1
"121","BB31_E",0.041128654,0.050081074,0.02334659,0.003886393,-0.827329159,-0.855972767,0.855972767,-1.07187283,0.492062718,0.023747426,-0.43323344,2023,0.3894279,"17 R",571063,2814009,"99.75","99.75","99.75","99.75","0","0",0
"122","BB31_S",0.046666715,0.054697052,0.027068051,0.004824953,-0.812592864,-0.837876678,0.837876678,-1.046143174,0.509933412,0.023525711,-0.445873678,2023,0.40044925,"17 R",571076,2813981,"100","98.15","98.15","98.15","0","0",0
"128","BB34_C",0.019334437,0.036194351,0.02002064,0.008407458,-0.393880069,-0.622999251,0.622999251,-0.612766027,0.136714339,-0.599573076,-0.653224468,2023,0.50118464,"17 R",566759,2819517,"98","98","81.75","81.75","0","0",16.25
"129","BB34_E",0.02373364,0.031925775,0.018814465,0.006879424,-0.550556302,-0.645438015,0.645438015,-0.696763396,0.496086776,-0.341401607,-0.736362398,2023,0.49305227,"17 R",566770,2819512,"100","100","80.75","80.75","0","0",19.25
"130","BB34_L",0.020980898,0.033255842,0.019172776,0.007818025,-0.457061321,-0.619318783,0.619318783,-0.631034553,0.322596282,-0.480824113,-0.708403766,2023,0.50213414,"17 R",566755,2819529,"93.25","93.25","93.25","93.25","0","0",0
"131","BB34_R",0.021126082,0.035130888,0.020024322,0.00793919,-0.453699261,-0.631336153,0.631336153,-0.64826256,0.262019873,-0.511109829,-0.683172107,2023,0.4982843,"17 R",566764,2819500,"98.75","98.75","72.5","77","0","0",26.25
"132","BB34_S",0.021802869,0.033788856,0.019050792,0.007581791,-0.483962655,-0.633470058,0.633470058,-0.645956933,0.341465771,-0.436933845,-0.688152909,2023,0.49246672,"17 R",566744,2819512,"97.5","97.5","77","77","0","0",20.5
"143","BB43_C",0.022324145,0.037364852,0.026509594,0.02440594,0.044549346,-0.209790289,0.209790289,-0.061974838,0.241343841,-0.695999384,-0.812744021,2023,0.511205,"17 R",573793,2838538,"100","100","100","0","0","100",0
"144","BB43_E",0.022723669,0.036832459,0.031292453,0.100734465,0.631880581,0.464515775,-0.464515775,0.788952887,0.276735485,-0.820181787,-0.940147698,2023,0.5106193,"17 R",573778,2838541,"66.6","66.6","63.6","1.6","0","62",3
"145","BB43_L",0.025438607,0.044351671,0.031414863,0.024988709,-0.008921707,-0.279245108,0.279245108,-0.170897514,0.161076158,-0.710661352,-0.757037818,2023,0.5006647,"17 R",573790,2838523,"100","100","100","0","0","100",0
"146","BB43_R",0.017986478,0.027591666,0.016688081,0.045724418,0.435371995,0.247322977,-0.247322977,0.697849095,0.398287773,-0.516060054,-0.80052036,2023,0.5030069,"17 R",573798,2838553,"77.2","75.8","75.8","0.1","0","75.7",0
"147","BB43_S",0.028423343,0.047648799,0.035125379,0.018926093,-0.200577885,-0.431434512,0.431434512,-0.449551642,0.183810771,-0.69524157,-0.761423528,2023,0.5159227,"17 R",573810,2838536,"97.2","97.2","96.3","96.3","0","0",0.9
"148","BB45_C",0.018758932,0.040825412,0.026399465,0.011488385,-0.240369961,-0.560789466,0.560789466,-0.590337515,-0.041611802,-0.866436303,-0.721332371,2023,0.60021186,"17 R",569666,2830253,"99.25","99.25","95","90.5","0","4.5",4.25
"149","BB45_E",0.015164898,0.031582754,0.019848434,0.010659539,-0.174461067,-0.49531436,0.49531436,-0.451794773,0.061465032,-0.835086226,-0.783628464,2023,0.57620347,"17 R",569652,2830261,"99.25","99.25","91.75","91.75","0","0",7.5
"150","BB45_L",0.017374299,0.03064575,0.020455929,0.011250108,-0.213949963,-0.462948918,0.462948918,-0.435523689,0.234521449,-0.724872231,-0.834293485,2023,0.5441186,"17 R",569657,2830241,"100","100","83.75","83.75","0","0",16.25
"151","BB45_R",0.021245034,0.041364037,0.027856395,0.011490729,-0.297970921,-0.565196097,0.565196097,-0.623895645,0.066718087,-0.787945628,-0.744838595,2023,0.68283176,"17 R",569677,2830261,"99","99","72.75","72.75","0","0",26.25
"152","BB45_S",0.018352803,0.034138877,0.021918643,0.010901624,-0.254702598,-0.51591903,0.51591903,-0.503515959,0.156529218,-0.729174733,-0.773423433,2023,0.7877609,"17 R",569679,2830244,"99.75","99.75","29.25","29.25","0","0",70.5
"168","BB49_C",0.010076653,0.019291168,0.012576994,0.007298536,-0.159889922,-0.451025426,0.451025426,-0.39836362,0.259106785,-0.853470087,-0.965620458,2023,0.3005204,"17 R",569329,2825717,"70.4","70.4","44","44","0","0",26.4
"169","BB49_E",0.010759952,0.01861606,0.011846084,0.008356324,-0.125737205,-0.38037926,0.38037926,-0.259109676,0.36853686,-0.736633003,-0.960436106,2023,0.3005204,"17 R",569322,2825731,"87.5","87.5","20","20","0","0",67.5
"170","BB49_L",0.009518162,0.017408241,0.0109971,0.008591721,-0.051156681,-0.33909741,0.33909741,-0.184190184,0.328425109,-0.795633972,-0.976831317,2023,0.3005204,"17 R",569315,2825711,"95","95","50","50","0","0",45
"171","BB49_R",0.010776722,0.019433204,0.011613458,0.008009728,-0.147286683,-0.416262954,0.416262954,-0.27546981,0.317250162,-0.718106508,-0.903960109,2023,0.3005204,"17 R",569345,2825721,"92","92","88","88","0","0",4
"172","BB49_S",0.011051526,0.019030387,0.011734316,0.007538258,-0.188989207,-0.432544798,0.432544798,-0.32658264,0.368196547,-0.701784492,-0.93196255,2023,0.30122748,"17 R",569337,2825703,"98.3","98.3","9.3","9","0.3","0",89
"173","BB50_C",0.030797733,0.051336195,0.025149217,0.003665122,-0.787300169,-0.866726041,0.866726041,-1.118406415,0.172349751,-0.329153448,-0.459173143,2023,0.3005204,"17 R",570953,2826457,"67.15","67.15","31.5","31.5","0","0",35.65
"174","BB50_E",0.030247292,0.05265756,0.024904992,0.003544983,-0.790189743,-0.87384969,0.87384969,-1.126187682,0.123053387,-0.338838428,-0.427108288,2023,0.3005204,"17 R",570958,2826472,"80.3","80.3","42","42","0","0",38.3
"175","BB50_L",0.029831454,0.048942532,0.022972794,0.002366916,-0.852979124,-0.90773958,0.90773958,-1.219777822,0.199209258,-0.283584476,-0.445229024,2023,0.3005204,"17 R",570938,2826458,"75","75","54","54","0","0",21
"176","BB50_R",0.031348836,0.049882442,0.024670828,0.004607779,-0.743703365,-0.830876827,0.830876827,-1.027868986,0.225423396,-0.294985145,-0.474810332,2023,0.3005204,"17 R",570969,2826453,"86.1","86.1","59.5","59.5","0","0",26.6
"177","BB50_S",0.030794334,0.051068977,0.02466529,0.004016002,-0.769263804,-0.854188859,0.854188859,-1.079935074,0.178659186,-0.312639505,-0.451149195,2023,0.3005204,"17 R",570947,2826442,"62.6","62.6","52.5","52.5","0","0",10.1
"180","BB53_C",0.03216061,0.057133052,0.027788369,0.003211104,-0.818436623,-0.893573642,0.893573642,-1.189242721,0.084044702,-0.371234417,-0.420201153,2023,2.343111,"17 R",568758,2822440,"63.75","63.75","47.75","47.75","0","0",16
"181","BB53_E",0.035031736,0.060580797,0.026707927,0.004743395,-0.761489391,-0.8547737,0.8547737,-1.04754889,0.097477674,-0.251791269,-0.334576726,2023,2.3990517,"17 R",568763,2822423,"28.5","28.5","21.5","20.75","0","0.75",7
"182","BB53_L",0.030532688,0.053825893,0.025382241,0.003097988,-0.815764129,-0.891153276,0.891153276,-1.173669577,0.105449863,-0.345688015,-0.418100744,2023,2.4466228,"17 R",568773,2822444,"60.5","60.5","58.5","58.5","0","0",2
"183","BB53_R",0.032427482,0.056731861,0.029351996,0.003443378,-0.808012545,-0.885554969,0.885554969,-1.18501246,0.100977004,-0.409809351,-0.464559346,2023,2.3614073,"17 R",568744,2822438,"52.75","52.75","31.25","31.25","0","0",21.5
"184","BB53_S",0.031336837,0.056069806,0.027182363,0.003561194,-0.79590863,-0.880558968,0.880558968,-1.152493715,0.081204787,-0.378316939,-0.423958361,2023,2.4941943,"17 R",568758,2822455,"59.75","59.75","30.5","30.5","0","0",29.25
"190","BB55_C",0.025362894,0.032881893,0.025137421,0.027057974,0.032335974,-0.097162701,0.097162701,0.055193171,0.526181638,-0.522905886,-0.904327273,2023,2.3344147,"17 R",566317,2819563,"51","51","27.25","26.25","0","1",23.75
"191","BB55_E",0.026050691,0.032482047,0.025501261,0.025176983,-0.017055376,-0.126694173,0.126694173,-0.009598119,0.567988694,-0.50844425,-0.926356316,2023,2.325139,"17 R",566321,2819574,"14.25","14.25","14.25","10.5","0","3.75",0
"192","BB55_L",0.022350235,0.032753985,0.024778971,0.02153275,-0.01862875,-0.206703082,0.206703082,-0.105142549,0.404525638,-0.637067795,-0.898435891,2023,2.3387542,"17 R",566331,2819560,"39.25","39.25","19.75","19.25","0","0.5",19.5
"193","BB55_R",0.023712412,0.036354091,0.024651708,0.106450602,0.635650575,0.490855783,-0.490855783,0.935897648,0.335408062,-0.573500335,-0.790644228,2023,2.340602,"17 R",566301,2819562,"6.5","6.5","6.5","5.75","0","0.75",0
"194","BB55_S",0.022482652,0.032081928,0.02501818,0.025412727,0.061176568,-0.115996882,0.115996882,0.011735285,0.435935318,-0.639380813,-0.925715804,2023,2.3356607,"17 R",566314,2819544,"0","0","0",NA,NA,NA,0
"195","BB56_E",0.062559448,0.076478802,0.031319421,0.005595291,-0.835806251,-0.863652706,0.863652706,-1.045279622,0.390679091,0.191791341,-0.210100725,2023,0.72506654,"17 R",582789,2833635,"96.25","96.25","96.25","96.25","0","0",0
"196","BB56_L",0.064292826,0.077132143,0.033581857,0.006643624,-0.812687993,-0.84139508,0.84139508,-1.004521251,0.407545865,0.159445211,-0.24913232,2023,0.71147,"17 R",582811,2833639,"100","100","99","99","0","0",1
"197","BB56_R",0.063092053,0.075049549,0.030606767,0.006759292,-0.806466401,-0.83475399,0.83475399,-0.957318306,0.422362894,0.219962731,-0.213277832,2023,0.69185483,"17 R",582783,2833653,"99.25","99.25","99.25","99.25","0","0",0
"198","BB56_S",0.064158969,0.076611795,0.03191705,0.005713837,-0.836450338,-0.861189365,0.861189365,-1.044482946,0.413788468,0.200865179,-0.221246377,2023,0.6984113,"17 R",582807,2833659,"100","100","100","100","0","0",0
"204","BB58_C",0.068717875,0.081962988,0.037392359,0.007571157,-0.80151391,-0.830876648,0.830876648,-0.994846642,0.399380326,0.134044871,-0.261640429,2023,0.73204994,"17 R",582885,2832237,"100","100","96.75","96.75","0","0",3.25
"205","BB58_E",0.069914646,0.084820032,0.04262178,0.007455871,-0.807268441,-0.838400483,0.838400483,-1.053341389,0.374497384,0.039311819,-0.316593766,2023,0.66425276,"17 R",582898,2832227,"98.75","98.75","97.5","97.5","0","0",1.25
"206","BB58_L",0.071636751,0.084689245,0.029066708,0.005826834,-0.849559426,-0.871253073,0.871253073,-0.999033332,0.400728703,0.391149431,-0.057249725,2023,0.6154617,"17 R",582892,2832249,"100","100","100","100","0","0",0
