"","Station","Year","GRID","TOT","easting","northing"
"81","BH10",2022,3,4,585546.058347897,2861522.68237078
"82","BH10",2023,1,5,585431.742994597,2861588.68237078
"83","BH10",2023,2,4,585482.838493421,2861559.18237078
"84","BH10",2023,3,5,585546.058347897,2861522.68237078
"85","BH14",2009,1,5,583991.760709492,2855822.03046992
"86","BH14",2009,2,4,583956.405370433,2855786.67513086
"87","BH14",2009,3,4,583938.727700904,2855768.99746133
"88","BH14",2010,1,4,583991.760709492,2855822.03046992
"89","BH14",2010,2,4,583956.405370433,2855786.67513086
"90","BH14",2010,3,5,583938.727700904,2855768.99746133
"91","BH14",2011,1,5,583991.760709492,2855822.03046992
"92","BH14",2011,2,5,583956.405370433,2855786.67513086
"93","BH14",2011,3,5,583938.727700904,2855768.99746133
"94","BH14",2012,1,5,583991.760709492,2855822.03046992
"95","BH14",2012,2,5,583956.405370433,2855786.67513086
"96","BH14",2012,3,5,583938.727700904,2855768.99746133
"97","BH14",2013,1,4,583991.760709492,2855822.03046992
"98","BH14",2013,2,4,583956.405370433,2855786.67513086
"99","BH14",2013,3,4,583938.727700904,2855768.99746133
"100","BH14",2014,1,4,583991.760709492,2855822.03046992
"101","BH14",2014,2,4,583956.405370433,2855786.67513086
"102","BH14",2014,3,4,583938.727700904,2855768.99746133
"103","BH14",2015,1,5,583991.760709492,2855822.03046992
"104","BH14",2015,2,4,583956.405370433,2855786.67513086
"105","BH14",2015,3,5,583938.727700904,2855768.99746133
"106","BH14",2016,1,3,583991.760709492,2855822.03046992
"107","BH14",2016,2,3,583956.405370433,2855786.67513086
"108","BH14",2016,3,3,583938.727700904,2855768.99746133
"109","BH14",2017,1,0,583991.760709492,2855822.03046992
"110","BH14",2017,2,0,583956.405370433,2855786.67513086
"111","BH14",2017,3,0,583938.727700904,2855768.99746133
"112","BH14",2018,1,0.1,583991.760709492,2855822.03046992
"113","BH14",2018,2,0,583956.405370433,2855786.67513086
"114","BH14",2018,3,0,583938.727700904,2855768.99746133
"115","BH14",2019,1,0,583991.760709492,2855822.03046992
"116","BH14",2019,2,0,583956.405370433,2855786.67513086
"117","BH14",2019,3,0,583938.727700904,2855768.99746133
"118","BH14",2020,1,2,583991.760709492,2855822.03046992
"119","BH14",2020,2,0,583956.405370433,2855786.67513086
"120","BH14",2020,3,2,583938.727700904,2855768.99746133
"121","BH14",2021,1,3,583991.760709492,2855822.03046992
"122","BH14",2021,2,2,583956.405370433,2855786.67513086
"123","BH14",2021,3,3,583938.727700904,2855768.99746133
"124","BH14",2022,1,3,583991.760709492,2855822.03046992
"125","BH14",2022,2,3,583956.405370433,2855786.67513086
